bayesian	('bayesian',)
statistical~values	('statistical~values',)
for	('for',)
for~procedure	('procedure~for',)
for~procedure~statistical	('statistical~procedure~for',)
the~which	('which~the', 'the~which')
procedure~the~which	('procedure~which~the',)
procedure~statistical~the~which	('statistical~procedure~which~the',)
given	('given',)
collect	('collect',)
data	('data',)
bayesian~data	('bayesian~data',)
analysis~to	('analysis~to',)
analysis~bayesian~to	('bayesian~analysis~to',)
obtain	('obtain',)
is~obtain	('is~obtain',)
analysis~is~obtain	('analysis~is~obtain',)
analysis~bayesian~is~obtain	('bayesian~analysis~is~obtain',)
a~the	('a~the', 'the~a')
a~is~the	('is~a~the', 'is~the~a', 'the~is~a')
a~analysis~is~the	('analysis~is~a~the',)
observed~statistical	('statistical~observed',)
then	('then',)
then~which	('which~then',)
procedure~then~which	('procedure~which~then',)
procedure~statistical~then~which	('statistical~procedure~which~then',)
calculate	('calculate',)
calculate~endeavors	('endeavors~calculate',)
calculate~endeavors~which	('which~endeavors~calculate',)
calculate~endeavors~procedure~which	('procedure~which~endeavors~calculate',)
the~to	('to~the', 'the~to')
endeavors~the~to	('endeavors~to~the',)
endeavors~the~to~which	('which~endeavors~to~the',)
likelihood	('likelihood',)
analysis~observed	('analysis~observed',)
analysis~bayesian~observed	('bayesian~analysis~observed',)
analysis~distribution	('analysis~distribution', 'distribution~analysis')
analysis~bayesian~distribution	('bayesian~analysis~distribution',)
as	('as',)
as~is	('is~as', 'as~is')
analysis~as~is	('analysis~is~as',)
a~statistical	('statistical~a',)
function	('function',)
function~procedure	('procedure~function',)
function~procedure~statistical	('statistical~procedure~function',)
of~which	('which~of', 'of~which')
of~procedure~which	('procedure~which~of',)
of~procedure~statistical~which	('statistical~procedure~which~of',)
parameter	('parameter',)
endeavors~parameter	('endeavors~parameter',)
endeavors~parameter~which	('which~endeavors~parameter',)
endeavors~parameter~procedure~which	('procedure~which~endeavors~parameter',)
multiply	('multiply',)
estimate~multiply	('estimate~multiply',)
estimate~multiply~to	('to~estimate~multiply',)
endeavors~estimate~multiply~to	('endeavors~to~estimate~multiply',)
this	('this',)
parameters~this	('parameters~this',)
estimate~parameters~this	('estimate~parameters~this',)
estimate~parameters~this~to	('to~estimate~parameters~this',)
likelihood~of	('of~likelihood', 'likelihood~of')
likelihood~of~parameters	('parameters~of~likelihood',)
